Deze gegevens mogen vrij worden gebruikt mits de volgende bronvermelding wordt gegeven:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

These data can be used freely provided that the following source is acknowledged:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

MAAND- en JAARGEMIDDELDE TEMPERATUREN (0.1 graden Celsius)
MONTHLY AND YEARLY MEAN TEMPERATURES (0.1 degrees Celsius)

STN = stationsnummer / WMO-number = 06... (235=De Kooy,240=Schiphol,260=De Bilt,270=Leeuwarden,280=Eelde,
      290=Twenthe,310=Vlissingen,344=Rotterdam,370=Eindhoven,380=Maastricht)


STN,YYYY,   JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC,  YEAR

370,1951,    41,    38,    40,    72,   119,   152,   170,   168,   154,    83,    82,    38,    96
370,1952,    23,    21,    51,   109,      ,      ,   176,   174,   112,    83,    30,    16,    80
370,1953,     9,    22,    49,    91,   137,   159,   172,   169,   142,   115,    65,    52,    99
370,1954,    -4,     0,    64,    68,   130,   153,   146,   161,   137,   118,    66,    54,    91
370,1955,     5,    -2,    22,    89,   104,   149,   179,   178,   144,    89,    58,    46,    88
370,1956,    21,   -72,    56,    60,   129,   130,   166,   143,   150,    96,    46,    54,    82
370,1957,    31,    54,    87,    85,   104,   168,   181,   159,   131,   105,    62,    26,    99
370,1958,    22,    41,    26,    64,   130,   150,   171,   177,   160,   109,    50,    45,    95
370,1959,    17,    10,    73,   104,   137,   165,   192,   180,   157,   112,    53,    47,   104
370,1960,    27,    36,    63,    92,   136,   167,   155,   162,   137,   108,    77,    32,    99
370,1961,    22,    66,    73,   113,   113,   156,   157,   164,   174,   116,    50,    22,   102
370,1962,    37,    26,    23,    84,   102,   142,   151,   158,   131,   103,    43,    -5,    83
370,1963,   -50,   -31,    52,    93,   113,   160,   168,   157,   142,    97,    86,   -10,    81
370,1964,     5,    39,    32,    91,   147,   157,   175,   166,   146,    81,    64,    22,    94
370,1965,    26,    15,    48,    76,   121,   152,   149,   155,   131,   101,    29,    45,    87
370,1966,     3,    56,    51,    91,   133,   170,   157,   161,   141,   114,    42,    43,    97
370,1967,    31,    53,    68,    76,   130,   147,   186,   167,   143,   119,    49,    25,   100
370,1968,    19,    17,    63,    97,   113,   156,   164,   170,   146,   120,    51,     1,    93
370,1969,    46,     1,    32,    83,   134,   153,   183,   175,   148,   125,    66,   -12,    95
370,1970,    14,    13,    31,    63,   135,   179,   163,   174,   149,   109,    78,    22,    94
370,1971,    27,    38,    27,    86,   144,   143,   180,   176,   131,   104,    50,    54,    97
370,1972,    12,    42,    67,    79,   121,   140,   174,   159,   119,    93,    59,    37,    92
370,1973,    29,    27,    53,    64,   128,   168,   174,   186,   150,    91,    53,    27,    96
370,1974,    56,    47,    60,    96,   120,   152,   156,   168,   131,    71,    66,    72,   100
370,1975,    65,    37,    47,    78,   115,   153,   182,   198,   156,    88,    52,    28,   100
370,1976,    41,    33,    35,    76,   140,   189,   200,   183,   141,   117,    67,    12,   103
370,1977,    30,    52,    76,    68,   123,   149,   170,   162,   133,   118,    68,    52,   100
370,1978,    32,    15,    65,    75,   126,   152,   155,   154,   136,   110,    59,    24,    92
370,1979,   -32,    -6,    51,    81,   124,   157,   164,   158,   138,   114,    57,    57,    89
370,1980,     4,    54,    51,    80,   123,   152,   159,   175,   156,    93,    48,    34,    94
370,1981,    24,    16,    88,    88,   139,   152,   167,   168,   148,    88,    64,     2,    95
370,1982,    12,    32,    55,    81,   131,   166,   190,   172,   164,   113,    81,    35,   103
370,1983,    59,     8,    58,    91,   111,   167,   209,   186,   143,   105,    61,    37,   103
370,1984,    34,    23,    41,    82,   108,   140,   165,   181,   137,   119,    86,    45,    97
370,1985,   -27,    -6,    46,    91,   136,   140,   177,   162,   146,   107,    32,    62,    89
370,1986,    30,   -29,    50,    68,   139,   168,   172,   156,   113,   118,    78,    50,    93
370,1987,   -28,    25,    29,   113,   105,   143,   171,   164,   153,   112,    67,    43,    91
370,1988,    58,    42,    52,    90,   144,   149,   162,   172,   140,   108,    59,    71,   104
370,1989,    42,    50,    85,    74,   151,   160,   184,   175,   155,   124,    52,    50,   109
370,1990,    56,    76,    83,    87,   146,   154,   170,   189,   127,   120,    59,    36,   109
370,1991,    31,    -9,    86,    82,   102,   130,   190,   182,   155,   102,    53,    34,    95
370,1992,    21,    46,    68,    86,   154,   168,   184,   181,   146,    76,    77,    36,   104
370,1993,    53,    19,    59,   115,   148,   165,   165,   152,   131,    91,    26,    53,    98
370,1994,    50,    20,    76,    87,   129,   159,   217,   180,   136,    95,   101,    53,   109
370,1995,    36,    67,    53,    94,   132,   149,   206,   198,   140,   129,    64,     0,   106
370,1996,     7,    10,    33,    97,   111,   162,   166,   175,   126,   104,    54,     4,    87
370,1997,   -14,    65,    83,    78,   131,   162,   173,   208,   141,    97,    65,    48,   103
370,1998,    43,    58,    73,    92,   153,   159,   163,   168,   152,    97,    34,    43,   103
370,1999,    52,    28,    73,   101,   145,   153,   194,   176,   177,   106,    60,    43,   109
370,2000,    40,    57,    69,   105,   153,   166,   154,   178,   159,   112,    77,    50,   110
370,2001,    27,    45,    57,    84,   150,   154,   189,   190,   132,   142,    62,    23,   105
370,2002,    42,    70,    72,    95,   136,   171,   178,   187,   146,   100,    79,    36,   109
370,2003,    23,    20,    79,   103,   138,   190,   193,   195,   147,    76,    81,    40,   107
370,2004,    33,    46,    59,   108,   125,   160,   170,   191,   154,   115,    58,    26,   104
370,2005,    47,    21,    70,   106,   130,   177,   183,   163,   160,   135,    63,    35,   108
370,2006,    11,    24,    42,    89,   148,   172,   230,   161,   180,   139,    89,    60,   112
370,2007,    67,    61,    78,   134,   145,   177,   171,   170,   138,   100,    64,    37,   112
370,2008,    64,    52,    60,    91,   164,   165,   180,   176,   134,    99,    66,    22,   106
370,2009,     0,    32,    62,   127,   143,   161,   184,   189,   151,   106,    96,    22,   106
370,2010,    -4,    18,    64,    98,   109,   175,   206,   171,   138,   103,    60,   -14,    94
370,2011,    34,    50,    67,   136,   147,   168,   162,   174,   161,   115,    76,    60,   113
370,2012,    48,     3,    85,    86,   148,   155,   175,   190,   140,   105,    69,    49,   104
370,2013,    20,    14,    27,    87,   118,   160,   200,   185,   146,   124,    63,    56,   100
370,2014,    58,    66,    87,   123,   136,   166,   199,   161,   159,   134,    83,    43,   118
370,2015,    36,    30,    61,    95,   129,   165,   191,   194,   136,   100,    97,    95,   111
370,2016,    48,    45,    54,    90,   151,   173,   189,   183,   177,    98,    58,    44,   109
370,2017,    10,    56,    90,    85,   157,   191,   186,   178,   139,   132,    67,    47,   112
370,2018,    58,     4,    50,   129,   169,   181,   220,   193,   150,   121,    70,    59,   117
370,2019,    30,    63,    82,   113,   121,   191,   193,   191,   149,   121,    64,    58,   115
370,2020,    58,    71,    71,   120,   138,   179,   175,   208,   158,   114,    87,    55,   120
370,2021,    32,    47,    66,    66,   117,   191,   182,   170,   162,   114,    62,    55,   105
370,2022,    45,    66,    78,    97,   151,   178,   192,      ,      ,      ,      ,      ,      
